Key,koreana
itemTooltipFocusedSeveral,"[73E9B2][{0}][-] {1} 줍기 ({2})"
forgeActivate,"[73E9B2][{0}][-] 용광로 열기"
useCampfire,"[73E9B2][{0}][-] 사용"
useForge,"[73E9B2][{0}][-] 사용"
useSecureDoor,"[73E9B2][{0}][-] 열기"
useDoor,"[73E9B2][{0}][-] 열기"
useOpen,"[73E9B2][{0}][-] 열기"
useClose,"[73E9B2][{0}][-] 닫기"
useWorkstation,"[73E9B2][{0}][-]"
lootAccess,"[73E9B2][{0}][-] {1} 접촉"
lootEntity,"[73E9B2][{0}][-] {1} 수색"
lootTooltipEmpty,"[73E9B2][{0}][-] {1} 열기\n[808080](비어 있음)[-]"
lootTooltipNew,"[73E9B2][{0}][-] {1} 조사\n[73E9B2](손대지 않음)[-]"
lootTooltipTouched,"[73E9B2][{0}][-] {1} 열기"
lootVehicleEmpty,"[73E9B2][{0}][-] {1} 열기{2}\n[808080](비어 있음)[-]"
lootVehicleNew,"[73E9B2][{0}][-] {1} 조사{2}\n[73E9B2](손대지 않음)[-]"
lootVehicleTouched,"[73E9B2][{0}][-] {1} 열기{2}"
lootVehicleSecureJammed,"[73E9B2][{0}][-] {1} 열기{2}\n[808080](걸림)[-]"
lootVehicleSecureLocked,"[73E9B2][{0}][-] {1} 열기{2}\n[808080](잠김)[-]"
lootVehicleSecureUnlocked,"[73E9B2][{0}][-] {1} 열기{2}\n[808080](잠금 해제됨)[-]"
tooltipJammed,"[73E9B2][{0}][-] {1} 열기\n[808080](걸림)[-]"
tooltipLocked,"[73E9B2][{0}][-] {1} 열기\n[808080](잠김)[-]"
tooltipUnlocked,"[73E9B2][{0}][-] {1} 열기\n[808080](잠금 해제됨)[-]"
useBlock,"[73E9B2][{0}][-] {1} 사용"
editLabel,"[73E9B2][{0}][-] 라벨 수정"
useElevator,"[73E9B2][{0}][-] 엘리베이터 호출 [808080]({1}층)[-]"
lootItem,"[73E9B2][{0}][-] {1} 줍기"
tooltipInteract,"[73E9B2][{0}][-] {1} 사용"
vendingMachineActivate,"[73E9B2][{0}][-] {1} 사용"
useSwitchLightOff,"[73E9B2][{0}][-] 끄기"
useSwitchLightOn,"[73E9B2][{0}][-] 켜기"
npcTooltipTalk,"[73E9B2][{0}][-] {1} 과(와) 대화"
pickupCrops,"[73E9B2][{{0}}][-] {1} {0}개 수확"
pickupPrompt,"[73E9B2][{{0}}][-] {0} 줍기"
xuiVendingWithOwner,"자판기\n[808080]({0})[-]"
xuiLockAmmo,"켜기"
xuiUnlockAmmo,"끄기"
activeBlockPrompt,"{0}\n[73E9B2](활성화)[-]"
inactiveBlockPrompt,"{0}\n[808080](비활성화)[-]"
uiOpenJammed,"[73E9B2][{0}][-] {1} 열기\n[808080](걸림)[-]"
uiOpenLocked,"[73E9B2][{0}][-] {1} 열기\n[808080](잠김)[-]"
uiOpenUnlocked,"[73E9B2][{0}][-] {1} 열기\n[808080](잠금 해제됨)[-]"
blockcommand_aim,"조준"
blockcommand_confirm,"위치 확정"
blockcommand_do_nothing,"아무것도 하지 않음"
blockcommand_fuel_add,"용기에 담기"
blockcommand_fuel_take,"용기에서 꺼내기"
blockcommand_repair,"수리"
blockcommand_pick1,"자물쇠 따기\n[808080](자물쇠 따개)[-]"
blockcommand_pick2,"자물쇠 따기\n[808080](머리핀)[-]"
blockcommand_useC4,"시한 폭탄 사용"
blockcommand_upgrade,"업그레이드"
uiNull,""
uiActionFillFrom,"[73E9B2][{0}][-] {1} 추출"
uiActionFillTo,"[73E9B2][{0}][-] {1} 채우기"
uiActionTake,"[73E9B2][{0}][-] {1} 가져오기"
uiActionUse,"[73E9B2][{0}][-] {1} 사용"
uiActionUntouched,"\n[73E9B2](손대지 않음)[-]"
uiActionSkillLevelUp,"[decea3]{0}[-] 액션 스킬이 [decea3]{1}[-] 레벨로 향상되었습니다!"
uiAll,"전체"
uiAllResearch,"모든 연구"
uiAmmo,"탄약"
uiAmmoAndExplosives,"탄약/폭발물"
uiAmmunition,"탄약"
uiArmor,"방어구"
uiAttention,"주의"
uiBackpack,"배낭"
uiBasicCrafting,"제작"
uiBiomeName,"바이옴 이름"
uiBloodMoon,"블러드 문"
uiBlockAndMaterialName,"{1} / {0}"
uiBlockMissing,"블록이 없습니다"
uiBlockName,"{0}"
uiBooksSchematics,"책/도면"
uiBroadcastStorage,"원격 제작 허용"
uiBuffs,"버프 목록"
uiCantPickUpFuelNotEmpty,"작업대의 연료 슬롯이 비어 있지 않습니다!"
uiCantPickUpInputNotEmpty,"작업대의 투입 슬롯이 비어 있지 않습니다!"
uiCantPickUpOutputNotEmpty,"작업대의 산출물 슬롯이 비어 있지 않습니다!"
uiCantPickUpQueueNotEmpty,"작업대의 대기열이 비어 있지 않습니다!"
uiCantPickUpToolsNotEmpty,"작업대 도구의 슬롯이 비어 있지 않습니다!"
uiClothing,"의복"
uiClothingAndArmor,"의복/방어구"
uiClothingArmorMods,"의복/방어구 개조"
uiColorPickerHex,"색상 (Hex)"
uiColorPickerRGB,"색상 (RGB)"
uiConfirmPlacement,"[73E9B2][{{0}}][-] 위치 확정"
uiContainer,"보관함"
uiCopy,"복사"
uiCopyIDToClipboard,"아이템 ID를 클립보드로 복사합니다."
uiCrafted,"제작"
uiCraftedIn,"제작 "
uiCraftingFuel,"연료"
uiCraftingOutput,"산출물"
uiCraftingQueue,"제작 대기열"
uiCraftingQueueAndOutput,"제작 대기열/산출물"
uiCraftingTools,"도구"
uiCraftOutput,"제작 결과물"
uiCrouching,"앉기"
uiDescription,"설명"
uiDetails,"세부 내용"
uiDifficulty,"난이도"
ui_door_prefix," ("
ui_door_suffix,")"
ui_door_bottom,"아래쪽 문"
ui_door_left,"왼쪽 문"
ui_door_middle,"중간 문"
ui_door_right,"오른쪽 문"
ui_door_top,"위쪽 문"
ui_drawer_bottom,"아래쪽 서랍"
ui_drawer_left,"왼쪽 서랍"
ui_drawer_left_bottom,"왼쪽 아래 서랍"
ui_drawer_left_middle,"왼쪽 중간 서랍"
ui_drawer_left_top,"왼쪽 위 서랍"
ui_drawer_middle,"중간 서랍"
ui_drawer_right,"오른쪽 서랍"
ui_drawer_right_bottom,"오른쪽 아래 서랍"
ui_drawer_right_middle,"오른쪽 중간 서랍"
ui_drawer_right_top,"오른쪽 위 서랍"
ui_drawer_top,"위쪽 서랍"
ui_drawer_top_middle,"위쪽 중간 서랍"
uiExplosives,"폭발물"
uiExplosivesAndMines,"폭발물/지뢰"
uiFeatureInProgress,"현재 개발 진행중인 기능입니다.\n부분적으로 작동하거나, 아예 작동하지 않을 수 있습니다."
uiFoodAndDrinks,"음식과 음료"
uiGameContinue,"게임 계속하기"
uiGameNew,"새 게임"
uiGameSettingsBasic,"기본 설정"
uiGameSettingsAdvanced,"고급 설정"
uiGameSettingsExpert,"전문가 설정"
uiGameSettingsMultiplayer,"멀티플레이어"
uiGrowing,"자라는 중 "
uiHeaderCrafting,"제작"
uiHeaderCharacter,"캐릭터"
uiHeaderMap,"지도"
uiHeaderSkills,"스킬"
uiHeaderQuests,"퀘스트"
uiHeaderJournal,"일지"
uiHeaderPlayers,"플레이어"
uiHeaderCreative,"창작 모드"
uiIngredientHave,", 보유: "
uiIngredientInclModded,"개조 부품 장착됨"
uiIngredientNeed,"\n필요: "
uiIngredientRetrieve,"\n회수 가능: "
uiInspectLockSlot,"L키로 인벤토리 슬롯을 잠금"
uiInspectStackSingle,"아이템을 하나씩 버릴 수 있음"
uiInspectStackSplit,"드래그하여 반 묶음 씩 선택"
uiInspectStackSwap,"아이템 한 묶음을 교체, 버리기"
uiInspectStackTake,"드래그해서 아이템 한 묶음 선택"
uiInspectStackView,"아이템, 제작법, 활성 효과 보기"
uiInsufficientStationLevel,"작업대 레벨 부족"
uiInteractWithBlock,"{0}와 상호작용"
uiInventory,"인벤토리"
uiItemNotFound,"[73E9B2]{0}[-]이 없습니다."
uiItemRequired,"{0}가 필요합니다."
uiLevelShort,"LVL"
uiLockAutoPick,"자동 따기"
uiLockAutoPickChance,"자동 따기 확률: [decea3]{0}%[-]"
uiLockVeryEasy,"매우 쉬움"
uiLockEasy,"쉬움"
uiLockAverage,"보통"
uiLockHard,"어려움"
uiLockVeryHard,"매우 어려움"
uiLockExtremelyHard,"극도로 어려움"
uiLockImpossible,"불가능함"
uiLockpickingInsufficient,"당신의 자물쇠 따기 [FF1919]{0}[-]레벨은\n이 [decea3]{1}[-]레벨 자물쇠를 따기에는 부족합니다."
uiLockpickingSkillLevel,"자물쇠 따기 레벨"
uiLockpickingLockLevel,"잠금 레벨"
uiLockpicksLeft,"[decea3]{1}[-]이 [decea3]{0}[-]개 남아있습니다."
uiLockpicksLeftNone,"인벤토리에 [decea3]{0}[-]이 없습니다."
uiLockpicksTooltipKB,"[73E9B2][{0}][-], [73E9B2][{1}][-] 키나 [73E9B2][{2}][-] 버튼을 누른 채로 [73E9B2]마우스 커서[-]를 움직여 [decea3]{3}[-]을 조정하고 [73E9B2]{4}[-]를 눌러 자물쇠를 따세요."
uiLockpicksTooltipGP,"[73E9B2][{0}][-], [73E9B2][{1}][-] 키를 눌러 [decea3]{2}[-]을 조정하세요. 그리고 [73E9B2][{3}][-]를 눌러 자물쇠를 따세요."
uiMapBedroll,"저장 위치"
uiMapCursor,"커서 좌표"
uiMapInfo,"정보"
uiMapPlayer,"현재 위치"
uiMapWaypoint,"웨이 포인트"
uiMapWaypoints,"웨이 포인트"
uiMapWaypointsPersonal,"개인 웨이포인트"
uiMapWaypointsShared,"공유 웨이포인트"
uiMaterial,"분해"
uiMax,"최대"
uiMenuSupport,"기부와 커뮤니티"
uiMiscellaneous,"잡화"
uiMissingIngredients,"[decea3]재료가 부족합니다.[-]"
uiMissingScrapWires,"인벤토리에 [decea3]전선 조각[-]이 없습니다."
uiMissingTool,"도구가 없습니다"
uiMods,"개조"
uiMovementSpeed,"이동 속도"
uiMovementState,"이동 상태"
uiNearbyStorage,"근처 보관함"
uiNoPower,"동력 없음"
uiNoSellPrice,"판매 가격 없음"
uiNoUpgradesForBlock,"블록을 강화할 수 없습니다."
uiPatchNotes,"뉴스와 최신 패치노트"
uiOr,"또는"
uiPerkPoints,"스킬 포인트"
uiPinIngredients,"재료 고정"
uiPlantNeedsMoreLight,"\n[FF6A00]빛이 부족해 자라지 않습니다.[-]"
uiPlayerEffects,"적용 효과"
uiPlayerPreview,"캐릭터 미리보기"
uiPlayerHidePreview,"미리 보기 숨기기"
uiPlayerStats,"상태창"
uiPlayerStatsCore,"중요 스탯"
uiPlayerStatsMore,"세부 정보"
uiPlayerStatsLess,"숨기기"
uiPlayerStatsAdvanced,"추가 정보"
uiPowerOutput,"출력"
uiPowerRemainingFuel,"남은 연료"
uiPowerUsed,"사용 중"
uiPrefabName,"프리팹 이름"
uiPricePrefix,"$"
uiPrimaryMaterial,"주요 재료"
uiQuality,"등급"
uiQuality1,"F A U L T Y"
uiQuality2,"C O M M O N"
uiQuality3,"U N C O M M O N"
uiQuality4,"R A R E"
uiQuality5,"E P I C"
uiQuality6,"L E G E N D A R Y"
uiQualityPrefix1,"FAULTY"
uiQualityPrefix2,"COMMON"
uiQualityPrefix3,"UNCOMMON"
uiQualityPrefix4,"RARE"
uiQualityPrefix5,"EPIC"
uiQualityPrefix6,"LEGENDARY"
uiQuestsShared,"공유 퀘스트"
uiRadiation,"방사능"
uiRayHitBlockName,"블록 이름"
uiRayHitTileEntity,"타일 엔터티"
uiRefreshServerList,"새로고침"
uiRepair,"수리"
uiRepairable,"수리 가능"
uiRepairCost,"수리 비용"
uiRepairItem,"수리 재료"
uiRequires,"요구"
uiRequiredMaterials,"필요 재료"
uiRequiredTool,"필요 도구"
uiResistance,"저항"
uiResistances,"저항력"
uiRestrictedArea,"제한 구역"
uiRetrievableComponents,"회수 가능한 부품"
uiRunning,"달리기"
uiScrapped,"분해 가능"
uiScrappedIn,"분해 가능 "
uiScrapMaterial,"분해 재료"
uiSearch,"조사"
uiServerFilters,"필터"
uiServers,"서버"
uiServiceInfo,"서비스 정보"
uiSettings,"설정"
uiShowOnMap,"맵에 표시"
uiSignEdit,"문구 수정"
ui_skill_buy,"레벨 업"
ui_skill_cost,"레벨 업 비용"
ui_skill_exp,"스킬 경험치"
ui_skill_level,"현재 레벨"
ui_skill_points,"스킬 포인트"
uiSkillPoint,"스킬 포인트"
uiSkillPoints,"스킬 포인트"
ui_skill_points_available,"사용 가능한 스킬 포인트"
uiSkillPointsName,"스킬 포인트"
uiSkillBuy,"레벨 업"
uiSkillPointShort,"포인트"
uiSkillPointsShort,"포인트"
uiSortName,"이름 순 정렬(오름순)"
uiSortGroup,"유형 순 정렬(오름순)"
uiSortPrice,"가격 순 정렬(역순)"
uiSortWeight,"무게 순 정렬(역순)"
uiSPCostNext,"필요 포인트 : "
uiSpeedKMH," km/h"
uiSpeedMPH," mph"
uiStats,"능력치"
uiStorage,"저장소"
uiStorageCompartment,"영역"
uiStorageCompartments,"영역"
uiTabPersonal,"개인 퀘스트"
uiTabShared,"공유 퀘스트"
uiTeleportEW,"X (동/서)"
uiTeleportNS,"Z (북/남)"
uiTimeDay,"{0} 일"
uiTimeDays,"{0} 일"
uiTimeHour,"{0} 시"
uiTimeHours,"{0} 시"
uiTimeMinute,"{0} 분"
uiTimeMinutes,"{0} 분"
uiTimeSecond,"{0} 초"
uiTimeSeconds,"{0} 초"
uiTimedProcessMining,"\n[decea3]채굴중 ({1}, {0}%)[-]"
uiTimedProcessGrowing,"\n[decea3]성장중 ({1}, {0}%)[-]"
uiTimedProcessGathering,"\n[decea3]채집중 ({1}, {0}%)[-]"
uiToggleSearch,"검색"
uiTotal,"총: {0}"
uiTraps,"함정"
uiTransferAll,"가방의 모든 아이템을\n보관함으로 옮깁니다."
uiTransferAllToBag,"가방의 모든 아이템을\n보관함으로 옮깁니다."
uiTransferStackables,"가방의 겹칠 수 있는 아이템만\n보관함으로 옮깁니다."
uiTransferStackablesToBag,"가방의 겹칠 수 있는 아이템만\n보관함으로 옮깁니다."
uiType,"유형"
uiUpgrade,"품질 향상"
uiUpgradeChance,"품질 향상 확률"
uiUpgradeCost,"품질 향상 비용"
uiUpgradeFail,"[FF1919]품질 강화 실패[-]"
uiUpgradeMax,"최고 등급의 품질입니다."
uiUpgradeSuccess,"[73E9B2]품질 강화 성공![-]"
uiUpgradeRemoveMods,"[decea3]개조 부품이 장착된 상태로 강화할 수 없습니다.[-]"
uiUpgradeRequiresRepairs,"[decea3]아이템을 먼저 수리해야 합니다.[-]"
uiUnderwater,"수중"
uiUnlockedBy,"잠금 해제"
uiUnknownIngredient,"알려지지 않은 재료"
uiUnlearned,"아직 배우지 않음"
uiUnpinPinnedRecipe,"제작법 고정 해제"
uiValue,"가치"
uiVehicleCargo,"적재 중량"
uiVehicleSeats,"좌석 수"
uiVehicleSlots,"적재 칸 수"
uiVehicleConsumption,"소비"
uiVehicleFuelEfficiency,"연비"
uiVehicles,"탈 것"
uiVehicleSpeed,"속도"
uiVehicleSpeedTurbo,"최고 가속 속도"
uiVehicleTank,"연료 탱크"
uiVersionNewAvailable,"업데이트 가능"
uiWalking,"걷기"
uiWeaponsMelee,"근접 무기"
uiWeaponsMeleeAndTools,"근접 무기와 도구"
uiWeaponsRanged,"원거리 무기"
uiWeight,"무게"
uiWorkstationNotEmpty,"작업대가 비어있지 않습니다"
uiServerVersionMissmatch,"Undead Legacy 클라이언트 버전이 서버의 버전과 다릅니다."
uiServerVersionUnknown,"[ff0000]알려지지 않음[-]"
statAccuracy,"정확도"
statAlcohol,"취기"
statAlcoholMax,"최대 취기"
statArmorRating,"방어구 등급"
statAttackSpeed,"공격 속도"
statAttacksPerMinute,"근접 공격 속도"
statBlockDamage,"블록 데미지"
statBlocksLight,"블록 광량"
statCarbs,"탄수화물"
statCarbsMax,"최대 탄수화물"
statCondition,"내구도"
statCoreTemp,"체온"
statCraftingTier,"제작 티어"
statCraftingTime,"제작 시간"
statCraftingSpeed,"제작 속도"
statCurrentLife,"현재 생존"
statDamage,"데미지"
statDeaths,"죽은 횟수"
statDismemberChance,"사지 절단 확률"
statDurability,"내구도"
statDurabilityMax,"최대 내구도"
statDurabilityUse,"내구도 소모 배수"
statEfficiency,"연료 효율"
statTravelled,"여행한 거리"
statDysenteryChance,"이질 감염 확률"
statEncumbered,"과적"
statEncumbrance,"과적"
statEncumbranceBonus,"추가 운반 한계"
statExpRate,"XP 보너스"
statExpToNextLevel,"남은 XP"
statFat,"지방"
statFatMax,"최대 지방"
statFireRate,"발사 속도"
statFood,"포만감"
statFoodMax,"최대 포만감"
statFoodRate,"소화 속도"
statFuel,"연료"
statGas,"가스"
statHandling,"조작"
statHealing,"회복"
statHealth,"체력"
statHealthMax,"최대 체력"
statHealthRegen,"체력 재생량"
statItemsCrafted,"제작한 아이템 수"
statJumpStrength,"점프력"
statKilledPlayers,"처치한 플레이어 수"
statKilledZombies,"처치한 좀비 수"
statLoad,"하중"
statLockpicking,"자물쇠 따기"
statLongestLife,"최장 생존"
statLootStage,"전리품 스테이지"
statMagazineSize,"탄약"
statMobility,"이동 속도"
statModificationSlots,"슬롯"
statPoisonChance,"식중독 감염 확률"
statPower,"전력"
statPowerAttack,"강타"
statPowerEfficiency,"전력 효율"
statProtein,"단백질"
statProteinMax,"최대 단백질"
statRange,"사거리"
statRecoil,"반동"
statReloadSpeed,"재장전 속도"
statResistBleeding,"출혈 저항"
statResistCold,"추위 저항"
statResistDiseases,"질병 저항"
statResistFallDamage,"낙하 데미지 감소"
statResistHeat,"더위 저항"
statResistPhysical,"물리 저항"
statResistRadiation,"방사능 저항"
statResistStun,"기절 저항"
statResistToxic,"독 저항"
statRoundsPerMinute,"범위 공격 속도"
statStamina,"스태미너"
statStaminaMax,"최대 스태미너"
statStaminaRegen,"스태미너 재생량"
statStopsBleeding,"지혈"
statStopsLaceration,"열상 치료"
statStopsBrokenLimbs,"골절 치료"
statTreasureRadius,"보물 탐지 범위"
statVitamins,"비타민"
statVitaminsMax,"최대 비타민"
statWater,"수분"
statWaterMax,"최대 수분"
statWaterRate,"수분 감소 속도"
statWeight,"운반 무게"
statWeightMax,"최대 운반 무게"
statWellness,"건강함"
statWellnessMax,"최대 건강함"
statWellnessRate,"건강함 비율"
tt_belongs_to_other_player,"이 아이템은 다른 사람 소유입니다."
tt_empty_before_pickup,"줍기 전에 안을 비워야 합니다."
tt_container_is_full,"꽉 찼습니다. 더 채울 수 없습니다."
tt_not_enough_substance,"이걸 채우기에는 충분하지 않습니다."
tt_no_compatible_items,"상호작용 가능한 물건을 들고 있지 않습니다."
ttJunkDroneEmptySomeStorage,"이 개조를 교체/제거 하기 위해 드론 저장소의 마지막 줄을 비워주세요."
type1hAxes,"한손 도끼"
type1hBlades,"한손 검"
type1hBlunt,"한손 둔기"
type1hKnives,"한손 단검"
type2hAxes,"한손 도끼"
type2hMelee,"양손 도끼"
type4x4,"차량 | 탈 것"
typeadvBuilding,"고급 건축"
typeAmmo,"탄약"
typeAmmoWeapons,"탄약/무기"
typeAmmunition,"탄약"
typeApparel,"의류"
typeArmor,"방어구"
typeAutomotive,"자동차"
typeBasics,"기초"
typeBatons,"진압봉"
typeBeams,"빔"
typeBicycles,"자전거 | 탈 것"
typeBladeLong,"장검"
typeBladeShort,"단검"
typeBlunt,"둔기"
typeBluntLong,"긴 둔기"
typeBluntShort,"짧은 둔기"
typeBlocks,"블록"
typeBooks,"책"
typeBows,"활"
typeBuilding,"건축"
typeBundles,"아이템 번들"
typeCandy,"사탕"
typeCannedFood,"통조림"
typeCars,"차량 | 탈 것"
typeCatwalks,"통로"
typeCFChemicals,"화학 용품"
typeCFDrinkCooking,"음료"
typeCFFoodCooking,"음식"
typeChemicals,"화학 용품"
typeChemicalComposite,"화학 합성물"
typeClothing,"의복"
typeClubs,"곤봉"
typeCollectors,"자원 수집기"
typeConsumables,"소모품"
typeConstructionTools,"건축 도구"
typeCookingTools,"요리 도구"
typeCorpses,"시체"
typeCraftingMisc,"제작/잡화"
typeCrops,"농작물"
typeCrossbows,"석궁"
typeCutting,"절단 | 채광"
typeDebris,"잔해"
typeDecorMiscellaneous,"잡화"
typeDecor,"장식"
typeDecorative,"장식"
typeDigging,"발굴"
typeDiggingTools,"발굴 도구"
typeDoors,"문"
typeDrinks,"음료"
typeDrugs,"약품"
typeDyeMods,"염색약"
typeElectrical,"전기"
typeElectricalTools,"전기 배선 도구"
typeEmpty,"빈 저장소"
typeExplosives,"폭발물"
typeFirearms,"화기"
typeFistWeapons,"주먹 무기"
typeFood,"음식"
typeFoodCooking,"음식/요리"
typeFurniture,"가구/장식"
typeGrenades,"수류탄"
typeGun,"화기"
typeGuns,"화기"
typeGyroCopters,"자이로콥터 | 탈 것"
typeHandTools,"수공구"
typeHealth,"체력"
typeHeavyArmor,"중갑옷"
typeHelicopters,"헬리콥터 | 탈 것"
typeItem,"아이템"
typeJunk,"쓰레기"
typeKnives,"단검"
typeLandMines,"지뢰 | 건축"
typeLaunchers,"런쳐"
typeLightArmor,"경갑옷"
typeLighting,"조명"
typeLoot,"보관함"
typeMedical,"의약품"
typeMedicine,"의약품"
typeMediumArmor,"평갑옷"
typeMelee,"근접"
typeMeleeTools,"근접 도구"
typeMeleeWeapons,"근접 무기"
typeMachineGuns,"기관총"
typeMinesExplosives,"지뢰/폭발물"
typeMinibikes,"오토바이 | 탈 것"
typeMotorcycles,"오토바이 | 탈 것"
typeChoppingTools,"벌목 도구"
typeMaintenance,"수리 및 강화 도구"
typeMiningTools,"채광 도구"
typeMissions,"퀘스트 아이템"
typeMisc,"잡화"
typeMods,"개조 부품"
